Name,Discount_rate,Price,Rating,Release
Age of Mythology: Retold,-20%,79.99,86.80%,2024-09-01
Baldur's Gate 3,-20%,159.99,95.98%,2023-08-01
UNDERDOGS,-42%,51.61,92.37%,2024-01-01
The Legend of Heroes: Trails from Zero,-30%,83.99,92.12%,2022-09-01
The Legend of Heroes: Trails to Azure,-25%,89.99,91.53%,2023-03-01
DEATH STRANDING DIRECTOR'S CUT,-50%,79.5,90.83%,2022-03-01
STORY OF SEASONS: Friends of Mineral Town,-75%,23.49,90.77%,2020-07-01
The Legend of Heroes: Trails into Reverie,-35%,105.3,89.30%,2023-07-01
Anger Foot,-30%,51.79,88.88%,2024-07-01
Rune Factory 3 Special,-60%,55.99,88.72%,2023-09-01
The Legend of Heroes: Trails of Cold Steel IV,-60%,64.8,88.16%,2021-04-01
The Legend of Heroes: Trails of Cold Steel III,-75%,40.5,87.75%,2020-03-01
Syberia: The World Before,-80%,21.8,87.17%,2022-03-01
The Legend of Heroes: Trails through Daybreak,-20%,129.6,87.14%,2023-03-01
Garfield Kart - Furious Racing,-93%,2.79,85.73%,2019-11-01
Rune Factory 4 Special,-70%,35.99,83.94%,2021-12-01
BUTCHER,-85%,2.99,81.91%,2016-10-01
STORY OF SEASONS: Pioneers of Olive Town,-65%,55.99,80.50%,2021-09-01
The Binding of Isaac: Rebirth,-50%,13.99,96.42%,2014-11-01
Resident Evil 4,-50%,84.5,96.31%,2023-03-01
Ghost Trick: Phantom Detective,-50%,64.5,94.05%,2023-06-01
Minishoot' Adventures,-25%,29.99,93.96%,2024-04-01
Car Mechanic Simulator 2021,-62%,28.11,93.75%,2021-08-01
The Legend of Heroes: Trails in the Sky SC,-35%,45.49,93.67%,2015-10-01
Beacon Pines,-60%,23.99,93.55%,2022-09-01
Insomnia: Theater in the Head,-26%,6.46,92.83%,2022-12-01
Maitetsu:Pure Station,-66%,50.14,92.66%,2018-09-01
"Little Kitty, Big City",-30%,51.79,92.65%,2024-05-01
Mortal Sin,-33%,40.19,92.21%,2023-03-01
Teenage Mutant Ninja Turtles: Shredder's Revenge,-35%,61.74,91.79%,2022-06-01
Homicipher,-10%,44.99,91.62%,2024-11-01
The Legend of Heroes: Trails of Cold Steel,-50%,36.49,91.49%,2017-08-01
SENRAN KAGURA SHINOVI VERSUS,-60%,15.19,91.09%,2016-06-01
SENRAN KAGURA ESTIVAL VERSUS,-70%,17.39,91.08%,2017-03-01
ABZU,-75%,9.24,90.86%,2016-08-01
The Legend of Heroes: Trails in the Sky,-50%,18.49,90.84%,2014-07-01
Who's Lila?,-50%,12.44,90.72%,2022-02-01
Killer Frequency,-66%,30.26,90.53%,2023-06-01
The Cosmic Wheel Sisterhood,-50%,27.49,90.44%,2023-08-01
Streets of Rage 4,-60%,36.98,90.43%,2020-04-01
American Arcadia,-35%,38.99,90.23%,2023-11-01
Jusant,-40%,52.49,90.12%,2023-10-01
The Legend of Heroes: Trails of Cold Steel II,-50%,36.49,89.70%,2018-02-01
The Legend of Heroes: Trails in the Sky the 3rd,-25%,41.99,89.70%,2017-05-01
Fate/EXTELLA LINK,-70%,28.19,89.62%,2019-03-01
Kill The Crows,-40%,10.19,89.62%,2023-08-01
The Operator,-15%,37.81,89.61%,2024-07-01
Ys Origin,-75%,9.24,89.51%,2012-05-01
Soda Crisis,-40%,13.67,89.48%,2022-05-01
We Were Here Expeditions: The FriendShip,-50%,6.89,89.38%,2023-09-01
Venba,-50%,23.49,89.38%,2023-07-01
We Were Here Forever,-50%,27.49,89.30%,2022-05-01
System Shock,-60%,79.6,89.04%,2023-05-01
SENRAN KAGURA Burst Re:Newal,-70%,17.39,89.00%,2019-01-01
Sakuna: Of Rice and Ruin,-50%,37.74,89.00%,2020-11-01
Game Of Fate,-12%,50.2,88.86%,2024-10-01
Touhou: Scarlet Curiosity,-70%,8.69,88.24%,2018-07-01
Aonatsu Line,-48%,34.31,88.21%,2022-12-01
Fate/EXTELLA,-65%,26.42,87.79%,2017-07-01
Card Shark,-60%,23.99,87.54%,2022-06-01
Thief Simulator 2,-33%,40.19,87.42%,2023-10-01
Backpack Battles,-20%,33.59,87.41%,2024-03-01
SENRAN KAGURA Bon Appétit! - Full Course,-75%,9.49,87.36%,2016-11-01
