,,Name,%,Price,Rating,Release,Ends,Started
,,"Age of Mythology: Retold

Daily DealTop Sellernew historical low",-20%,"R$ 79,99",86.80%,Sep 2024,,
,,"Baldur's Gate 3

Week Long DealTop Seller",-20%,"R$ 159,99",95.98%,Aug 2023,,
,,"UNDERDOGS

Daily Dealnew historical low",-42%,"R$ 51,61",92.37%,Jan 2024,,
,,"The Legend of Heroes: Trails from Zero

Daily Dealnew historical low",-30%,"R$ 83,99",92.12%,Sep 2022,,
,,"The Legend of Heroes: Trails to Azure

Daily Dealnew historical low",-25%,"R$ 89,99",91.53%,Mar 2023,,
,,"DEATH STRANDING DIRECTOR'S CUT

Midweek DealTop Seller",-50%,"R$ 79,50",90.83%,Mar 2022,,
,,"STORY OF SEASONS: Friends of Mineral Town

Daily Dealnew historical low",-75%,"R$ 23,49",90.77%,Jul 2020,,
,,"The Legend of Heroes: Trails into Reverie

Daily Dealnew historical low",-35%,"R$ 105,30",89.30%,Jul 2023,,
,,"Anger Foot

Midweek Dealnew historical low",-30%,"R$ 51,79",88.88%,Jul 2024,,
,,"Rune Factory 3 Special

Daily Dealnew historical low",-60%,"R$ 55,99",88.72%,Sep 2023,,
,,"The Legend of Heroes: Trails of Cold Steel IV

Daily Dealnew historical low",-60%,"R$ 64,80",88.16%,Apr 2021,,
,,"The Legend of Heroes: Trails of Cold Steel III

Daily Dealnew historical low",-75%,"R$ 40,50",87.75%,Mar 2020,,
,,"Syberia: The World Before

Daily Dealnew historical low",-80%,"R$ 21,80",87.17%,Mar 2022,,
,,"The Legend of Heroes: Trails through Daybreak

Daily Dealnew historical low",-20%,"R$ 129,60",87.14%,Mar 2023,,
,,"Garfield Kart - Furious Racing

Daily Dealnew historical low",-93%,"R$ 2,79",85.73%,Nov 2019,,
,,"Rune Factory 4 Special

Daily Dealnew historical low",-70%,"R$ 35,99",83.94%,Dec 2021,,
,,"BUTCHER

Daily Dealnew historical low",-85%,"R$ 2,99",81.91%,Oct 2016,,
,,"STORY OF SEASONS: Pioneers of Olive Town

Daily Dealnew historical low",-65%,"R$ 55,99",80.50%,Sep 2021,,
,,"The Binding of Isaac: Rebirth

Midweek DealTop Seller
all-time low: R$ 9,51 at -66%",-50%,"R$ 13,99",96.42%,Nov 2014,,
,,"Resident Evil 4

new historical low",-50%,"R$ 84,50",96.31%,Mar 2023,,
,,"Ghost Trick: Phantom Detective

new historical low",-50%,"R$ 64,50",94.05%,Jun 2023,,
,,"Minishoot' Adventures

new historical low",-25%,"R$ 29,99",93.96%,Apr 2024,—,
,,"Car Mechanic Simulator 2021

new historical low",-62%,"R$ 28,11",93.75%,Aug 2021,,
,,"The Legend of Heroes: Trails in the Sky SC

Daily Deal",-35%,"R$ 45,49",93.67%,Oct 2015,,
,,"Beacon Pines

new historical low",-60%,"R$ 23,99",93.55%,Sep 2022,,
,,"Insomnia: Theater in the Head

new historical low",-26%,"R$ 6,46",92.83%,Dec 2022,,
,,"Maitetsu:Pure Station

new historical low",-66%,"R$ 50,14",92.66%,Sep 2018,,
,,"Little Kitty, Big City

new historical low",-30%,"R$ 51,79",92.65%,May 2024,,
,,"Mortal Sin

new historical low",-33%,"R$ 40,19",92.21%,Mar 2023,,
,,"Teenage Mutant Ninja Turtles: Shredder's Revenge

Midweek Deal",-35%,"R$ 61,74",91.79%,Jun 2022,,
,,"Homicipher

Introductory Offernew historical low",-10%,"R$ 44,99",91.62%,Nov 2024,,
,,"The Legend of Heroes: Trails of Cold Steel

Daily Deal",-50%,"R$ 36,49",91.49%,Aug 2017,,
,,"SENRAN KAGURA SHINOVI VERSUS

Daily Deal",-60%,"R$ 15,19",91.09%,Jun 2016,,
,,"SENRAN KAGURA ESTIVAL VERSUS

Daily Deal",-70%,"R$ 17,39",91.08%,Mar 2017,,
,,"ABZU

Daily Deal",-75%,"R$ 9,24",90.86%,Aug 2016,,
,,"The Legend of Heroes: Trails in the Sky

Daily Deal",-50%,"R$ 18,49",90.84%,Jul 2014,,
,,"Who's Lila?

new historical low",-50%,"R$ 12,44",90.72%,Feb 2022,,
,,"Killer Frequency

new historical low",-66%,"R$ 30,26",90.53%,Jun 2023,,
,,"The Cosmic Wheel Sisterhood

new historical low",-50%,"R$ 27,49",90.44%,Aug 2023,,
,,"Streets of Rage 4

Midweek Deal",-60%,"R$ 36,98",90.43%,Apr 2020,,
,,"American Arcadia

new historical low",-35%,"R$ 38,99",90.23%,Nov 2023,,
,,"Jusant

new historical low",-40%,"R$ 52,49",90.12%,Oct 2023,,
,,"The Legend of Heroes: Trails of Cold Steel II

Daily Deal",-50%,"R$ 36,49",89.70%,Feb 2018,,
